SHOP_ID,COMPANY_ID,SHOP_CD,SHOP_NAME,BUSINESS_STATUS,USE_DATE_BEGIN,ADDRESS,PROVINCE_DISTRICT,LATITUDE,LONGITUDE,OPEN_DATE,END_DATE,SUPERVISOR_AREA,DISTRICT_CODE,SALE_DISTRICT,PUBLISH_FLG,TYPE,CREATE_DATE,CREATE_USER,UPDATE_DATE,UPDATE_USER,DEL_FLG
011279,1,1279,华宁路,0,2005/5/31,华宁路1399弄29号,上海市闵行区,31.029466,121.397468,2005/5/31,2099/12/31,,0601,上海售价区,0,0,2014/9/25 11:34:17,BAT003,2014/9/25 11:34:17,BAT003,0
011280,1,1280,芷江中路,1,2005/5/13,芷江中路373号,上海市闸北区,31.265719,121.477306,2005/5/13,2007/3/27,,0601,上海售价区,0,0,2014/9/25 11:34:17,BAT003,2014/9/25 11:34:17,BAT003,0
011281,1,1281,金沙江路2356号,1,2001/1/1,金沙江路2356,上海市,31.244631,121.372356,2001/1/1,2005/8/13,,0601,上海售价区,0,0,2014/9/25 11:34:18,BAT003,2014/9/25 11:34:18,BAT003,0
011282,1,1282,东方众鑫,0,2005/4/13,吴江路31号,上海市静安区,31.236557,121.469804,2005/4/13,2099/12/31,,0601,上海售价区,0,0,2014/9/25 11:34:18,BAT003,2014/9/25 11:34:18,BAT003,0
011283,1,1283,浙江南路,1,2005/4/12,浙江南路,上海市,31.23595,121.488216,2005/4/12,2000/1/1,,0601,上海售价区,0,0,2014/9/25 11:34:18,BAT003,2014/9/25 11:34:18,BAT003,0
011285,1,1285,中山西路743号,1,2001/1/1,中山西路743号,上海市,31.216309,121.419454,2001/1/1,2005/10/21,,0601,上海售价区,0,0,2014/9/25 11:34:19,BAT003,2014/9/25 11:34:19,BAT003,0
011286,1,1286,福建中路,1,2005/4/19,福建中路342号,上海市,31.24213,121.486777,2005/4/19,2011/1/1,,0601,上海售价区,0,0,2014/9/25 11:34:19,BAT003,2014/9/25 11:34:19,BAT003,0
011287,1,1287,青海路,1,2005/5/28,青海路68号,上海市,31.235963,121.470736,2005/5/28,2009/1/18,,0601,上海售价区,0,0,2014/9/25 11:34:19,BAT003,2014/9/25 11:34:19,BAT003,0
011288,1,1288,阳城路店,1,2001/1/1,阳城路100弄5号,上海市,31.291113,121.43749,2001/1/1,2006/1/19,,0601,上海售价区,0,0,2014/9/25 11:34:19,BAT003,2014/9/25 11:34:19,BAT003,0
011289,1,1289,春申路,1,2005/5/18,）,上海市畹町路117号108室（闵行区,,,2005/5/18,2007/10/25,,0601,上海售价区,0,0,2014/9/25 11:34:19,BAT003,2014/9/25 11:34:19,BAT003,0
011290,1,1290,万科蓝山,1,2005/6/7,金海路3333弄81号1室,上海市,31.274375,121.671992,2005/6/7,2011/1/1,,0601,上海售价区,0,0,2014/9/25 11:34:19,BAT003,2014/9/25 11:34:19,BAT003,0
011291,1,1291,中山北一路,0,2005/5/26,中山北一路278号,上海市虹口区,31.282845,121.485818,2005/5/26,2099/12/31,,0601,上海售价区,0,0,2014/9/25 11:34:20,BAT003,2014/9/25 11:34:20,BAT003,0
011292,1,1292,云雾山路店,1,2005/5/31,云雾山路551弄21号,上海市长宁区,31.222099,121.409307,2005/5/31,2012/6/9,,0601,上海售价区,0,0,2014/9/25 11:34:20,BAT003,2014/9/25 11:34:20,BAT003,0
011293,1,1293,宜山北路,1,2005/6/23,宜山北路42号,上海市,31.199781,121.438653,2005/6/23,2007/4/4,,0601,上海售价区,0,0,2014/9/25 11:34:20,BAT003,2014/9/25 11:34:20,BAT003,0
011295,1,1295,武进路,1,2005/6/16,武进路389号,上海市,31.257059,121.490091,2005/6/16,2006/6/19,,0601,上海售价区,0,0,2014/9/25 11:34:20,BAT003,2014/9/25 11:34:20,BAT003,0
011296,1,1296,雅致路,1,2005/6/17,雅致路176号,上海市,31.121021,121.38891,2005/6/17,2011/3/1,,0601,上海售价区,0,0,2014/9/25 11:34:21,BAT003,2014/9/25 11:34:21,BAT003,0
011297,1,1297,武进路294号店,1,2005/6/22,武进路294号,上海市,31.257846,121.491606,2005/6/22,2008/1/21,,0601,上海售价区,0,0,2014/9/25 11:34:21,BAT003,2014/9/25 11:34:21,BAT003,0
011298,1,1298,沪凇公路,1,2005/6/29,沪松公路3009号,上海市,31.111515,121.277791,2005/6/29,2007/4/27,,0601,上海售价区,0,0,2014/9/25 11:34:21,BAT003,2014/9/25 11:34:21,BAT003,0
011299,1,1299,大渡河路,0,2005/6/28,大渡河路1860号保龄球馆内,上海市普陀区,31.25814,121.403013,2005/6/28,2099/12/31,,0601,上海售价区,0,0,2014/9/25 11:34:21,BAT003,2014/9/25 11:34:21,BAT003,0
011300,1,1300,荣华西道路,1,2005/6/29,荣华西道99弄11号,上海市,31.2008,121.400048,2005/6/29,2011/3/16,,0601,上海售价区,0,0,2014/9/25 11:34:21,BAT003,2014/9/25 11:34:21,BAT003,0
